"Time [us]",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
"re(SP(Di1)) [uv]",-2095.7584541387,2852.63324515253,2180.66540457746,-2843.53650354142,-2175.13664711224,2847.68807888592,2178.53309121425,-2844.77616950737,-2175.96178695913,2847.09311849655,2178.0803463123,-2845.13449961719,-2176.25409078672,2846.84884683109,2177.87211527764,-2845.315006987,-2176.41283493536,2846.70747525796,2177.74480497635,-2845.43080510518,-2176.51911929203,2846.60911192217,2177.65307384206,-2845.5169618904,-2176.6005819353,2846.53160118457,2177.5788807201,-2845.58838684206,-2176.66972139251,2846.46431692031,2177.51306203339,-2845.653098581,-2176.73366208594,2846.40082685787,2177.44971110864,-2845.71661912624,-2176.79766434535,2846.33602124342,2177.38376433201,-2845.78406836233,-2176.86700920796,2846.26434584741,2177.30926983613,-2845.86193889342,-2176.94889958228,2846.17768126047,2177.21693526778,-2845.96102142777,-2177.05604523338,2846.0608448551,2177.08836271394,-2846.10394360269,-2177.21671846343,2845.87790060321,2176.87699598226,-2846.35234183531,-2177.51460533139,2845.51174937488,2176.41279095557,-2846.96513852666,-2178.36998404427,2844.21358401673,2174.13731339602,-2852.52494010814,-2127.57927568889,2762.15315461683,2111.66912951476,-2763.73261473519,-2112.51838906495,2763.16724374349,2112.10910603671,-2763.4762247617,-2112.34751398522,2763.29055309335,2112.20299485118,-2763.40188289178,-2112.28684957,2763.34126313837,2112.24623305329,-2763.36439393232,-2112.25387486037,2763.37063362755,2112.27268583379,-2763.34033024304,-2112.23178574766,2763.39107859838,2112.2917540956,-2763.32241914472,-2112.21484910373,2763.40719488395,2112.30718173051,-2763.30756604975,-2112.2004702867,2763.42118882307,2112.32087175567,-2763.29410539766,-2112.18716917438,2763.4343970249,2112.33405183716,-2763.28088919895,-2112.1738519109,2763.44788230434,2112.34777546538,-2763.26685198105,-2112.15941920777,2763.46280110092,2112.36328216294,-2763.25064130735,-2112.14237035275,2763.48084541607,2112.38250872949,-2763.2300076619,-2112.12005528821,2763.50518148943,2112.40929264897,-2763.20023038853,-2112.08657450445,2763.54330973856,2112.45335346663,-2763.14843778565,-2112.02444544487,2763.61970338083,2112.55024868943,-2763.02044935258,-2111.84563774384,2763.89143927088,2113.02777862749,-2761.84518415126,-2129.63381177874,2752.29802265394,2129.63381177877,-2752.29802265391,-2129.63381177872,2752.29802265395,2129.63381177875,-2752.29802265393,-2129.63381177879,2752.29802265391,2129.63381177874,-2752.29802265394,-2129.63381177876,2752.29802265392,2129.63381177879,-2752.2980226539,-2129.63381177875,2752.298022654,2129.6338117787,-2752.29802265398,-2129.63381177872,2752.29802265395,2129.63381177868,-2752.29802265399,-2129.63381177871,2752.29802265397,2129.63381177874,-2752.29802265394,-2129.63381177869,2752.29802265399,2129.63381177872,-2752.29802265395
"re(SP(Dq1)) [uv]",-2759.49279570649,-2170.26739480388,2849.40811922095,2179.25939112392,-2844.51042329888,-2175.95250054542,2846.94285943601,2177.8230830359,-2845.46756924322,-2176.64316190421,2846.41700976921,2177.40672674664,-2845.80731419112,-2176.92715167889,2846.17486909004,2177.19678625591,-2845.99197191061,-2177.09162372428,2846.02673764015,2177.06203473483,-2846.11566506234,-2177.20610913067,2845.91996222687,2176.9617397709,-2846.21050280504,-2177.29635262609,2845.83357539396,2176.87857057402,-2846.29101583166,-2177.37471011344,2845.75692006554,2176.80319999761,-2846.36549269267,-2177.44866634765,2845.68312167506,2176.72919977052,-2846.4400584059,-2177.52417240551,2845.60628148684,2176.65060419533,-2846.52086787424,-2177.60770304446,2845.51945971027,2176.55984144498,-2846.61632291948,-2177.70873086897,2845.41181341977,2176.44431809002,-2846.74125909258,-2177.84498084713,2845.2618602864,2176.27760821652,-2846.92870086018,-2178.05843824086,2845.01519418033,2175.98766300188,-2847.27650320887,-2178.48608188085,2844.47280544901,2175.27126073154,-2848.27728869731,-2180.00681222902,2841.80095276033,2168.69945739165,-2745.82751377015,-2110.84014381606,2764.11973580145,2112.78760875417,-2762.94702087338,-2111.91413560812,2763.65637282527,2112.51816366453,-2763.12638896277,-2112.0434774864,2763.55794262267,2112.44025675861,-2763.18994271455,-2112.09658930818,2763.51266609783,2112.40100757007,-2763.22446030791,-2112.12732981813,2763.4849827859,2112.37582726524,-2763.24757208652,-2112.14871935802,2763.4650352697,2112.35709177064,-2763.26528694047,-2112.16557495615,2763.44890101095,2112.34155938101,-2763.28032241469,-2112.18020708213,2763.43458751148,2112.3274865225,-2763.29422767718,-2112.19401442715,2763.42081034381,2112.31367238532,-2763.3081466578,-2112.20810820305,2763.40646830327,2112.29900350018,-2763.32322790067,-2112.22369639701,2763.39026689194,2112.2820677323,-2763.34103806217,-2112.24254504041,2763.37018491806,2112.26051793996,-2763.36434175524,-2112.26795669746,2763.34222034973,2112.22943192334,-2763.39928918844,-2112.3077488745,2763.29624512588,2112.17540061615,-2763.46408695806,-2112.38739848816,2763.19526137037,2112.04208444361,-2763.6501928791,-2112.66987839303,2762.69999882039,2110.83114560422,-2752.29802265396,-2129.63381177877,2752.29802265394,2129.6338117788,-2752.29802265398,-2129.63381177875,2752.29802265396,2129.63381177879,-2752.29802265393,-2129.63381177881,2752.29802265397,2129.63381177876,-2752.29802265395,-2129.6338117788,2752.29802265392,2129.63381177882,-2752.29802265396,-2129.6338117787,2752.298022654,2129.63381177872,-2752.29802265398,-2129.63381177875,2752.29802265401,2129.63381177871,-2752.29802265399,-2129.63381177874,2752.29802265397,2129.63381177877,-2752.298022654,-2129.63381177872,2752.29802265398,2129.63381177875
"re(SP(Di2)) [uv]",1290.09672666732,3151.52645555066,-1311.70006307065,-3153.49782802396,1310.92924472303,3153.19966540897,-1310.96631152907,-3153.06853390721,1311.21597400062,3153.40686614986,-1310.80839269969,-3152.943400673,1311.31814410995,3153.49231129372,-1310.735508954,-3152.88018701868,1311.37376189202,3153.54186247041,-1310.69087018181,-3152.83957154094,1311.4110515297,3153.57638244024,-1310.65866960765,-3152.80932060598,1311.43966063102,3153.60360938421,-1310.63260280807,-3152.78422154408,1311.46396106381,3153.62726202493,-1310.60946130937,-3152.76146533169,1311.48644994185,3153.64959615412,-1310.58717240592,-3152.73911301978,1311.50897554345,3153.67240836237,-1310.56395450276,-3152.71536197491,1311.53339849862,3153.69765681201,-1310.53770793654,-3152.68792041758,1311.5622627374,3153.72821064571,-1310.50514741998,-3152.65297145308,1311.60006612842,3153.76944545087,-1310.4597557277,-3152.60249535968,1311.65683458515,3153.83411267578,-1310.38500157912,-3152.51458877549,1311.76233489372,3153.96391107457,-1310.22024701116,-3152.29674911043,1312.06710069102,3154.42809727686,-1309.40111108938,-3150.2570967842,1260.36942192764,3058.5320829543,-1282.78134573063,-3060.85176598334,1281.4388510522,3059.88763905917,-1282.19526411251,-3060.51068554601,1281.66600615861,3060.05148633459,-1282.07055009557,-3060.41196030559,1281.74655231868,3060.11880517633,-1282.01315782749,-3060.36220485177,1281.79031221418,3060.15777868509,-1281.9780586695,-3060.33027787009,1281.81961756019,3060.18490121478,-1281.95276384143,-3060.30651924571,1281.84208254604,3060.2062771208,-1281.932302193,-3060.28682040551,1281.86115163352,3060.2248350836,-1281.91414793371,-3060.26897096228,1281.87878889078,3060.24234852321,-1281.89667239446,-3060.25144815113,1281.89644507566,3060.2602268273,-1281.87847875557,-3060.23283946978,1281.91557731253,3060.2800026636,-1281.85792445324,-3060.21135294957,1281.93817379913,3060.30391740531,-1281.83244410701,-3060.18400931126,1281.96774393932,3060.33616359543,-1281.79695688532,-3060.1445590896,1282.01209690629,3060.38666823718,-1281.73860058822,-3060.07597158992,1282.09435949563,3060.48779796951,-1281.61036332681,-3059.90664083004,1282.3308109937,3060.84686273889,-1280.98027071046,-3058.36217093646,1264.3188291682,3067.72422252402,-1264.31882916817,-3067.72422252403,1264.31882916822,3067.724222524,-1264.31882916819,-3067.72422252402,1264.31882916815,3067.72422252403,-1264.3188291682,-3067.72422252401,1264.31882916818,3067.72422252402,-1264.31882916814,-3067.72422252404,1264.31882916819,3067.72422252398,-1264.31882916825,-3067.72422252399,1264.31882916822,3067.72422252401,-1264.31882916827,-3067.72422252398,1264.31882916824,3067.724222524,-1264.3188291682,-3067.72422252401,1264.31882916826,3067.72422252399,-1264.31882916822,-3067.724222524
"re(SP(Dq2)) [uv]",-3044.94132757215,1319.68998170543,3157.69331610909,-1307.99384200887,-3150.88783439037,1312.90642712953,3154.76142906284,-1309.69988087242,-3152.02395268381,1312.08698119476,3154.13771974872,-1310.19360521194,-3152.42675580206,1311.75033180809,3153.85071511014,-1310.44241725286,-3152.64558375312,1311.55544055769,3153.67519929687,-1310.60206928665,-3152.79212529223,1311.41981497747,3153.54871376575,-1310.72087252043,-3152.90445926011,1311.31292731762,3153.44639817113,-1310.81937340231,-3152.99981079403,1311.2201319205,3153.35562174703,-1310.90862533849,-3153.0880014309,1311.13256071036,3153.26824035328,-1310.99624279488,-3153.17628547111,1311.0431663533,3153.17726960074,-1311.08928847488,-3153.27194863071,1310.944285516,3153.0744967843,-1311.19672198631,-3153.38493151991,1310.82471188383,3152.94709576873,-1311.33343867998,-3153.53277974941,1310.66348464003,3152.76966496276,-1311.5306823837,-3153.75453435273,1310.41097555282,3152.47790309352,-1311.87359226572,-3154.16580760112,1309.90538567291,3151.83680748552,-1312.72009777208,-3155.34780118448,1308.11059873472,3148.68773713152,-1320.43590104958,-3062.2574372619,1281.73177496462,3060.20933325006,-1281.89163261063,-3060.22894702678,1281.92785791566,3060.29614568712,-1281.84066254151,-3060.19483911412,1281.95253535108,3060.3149697228,-1281.82573703337,-3060.18264646355,1281.96273624812,3060.32367392256,-1281.81818551476,-3060.17600069027,1281.96865842243,3060.32901002786,-1281.81332949717,-3060.17154159742,1281.9727869269,3060.33286166425,-1281.80971060337,-3060.16811870432,1281.97604482386,3060.33598107907,-1281.80670668615,-3060.16521007804,1281.97887618755,3060.338751518,-1281.8039821203,-3060.16251727393,1281.98155070378,3060.34142085837,-1281.80130494536,-3060.15981910017,1281.98428345735,3060.34420246906,-1281.79845919304,-3060.15689255876,1281.9873092179,3060.3473481693,-1281.79516991569,-3060.15343235961,1281.99097240145,3060.35125243613,-1281.79097868382,-3060.14889814619,1281.99591897661,3060.35669863279,-1281.78492126899,-3060.1420841222,1282.00368303497,3060.36567632125,-1281.77436046242,-3060.12940453317,1282.01929067863,3060.38549987061,-1281.74812741789,-3060.09265935093,1282.07536258666,3060.48479685747,-1281.49846798532,-3067.724222524,1264.31882916817,3067.72422252402,-1264.31882916813,-3067.72422252399,1264.31882916818,3067.72422252401,-1264.31882916815,-3067.72422252402,1264.31882916812,3067.724222524,-1264.31882916817,-3067.72422252401,1264.31882916814,3067.72422252402,-1264.31882916811,-3067.724222524,1264.31882916825,3067.72422252398,-1264.31882916822,-3067.72422252399,1264.31882916818,3067.72422252397,-1264.31882916824,-3067.72422252399,1264.3188291682,3067.724222524,-1264.31882916817,-3067.72422252397,1264.31882916823,3067.72422252399,-1264.31882916819
"re(SP(Di3)) [uv]",3239.43991141534,94.3091353674492,-3343.38773475151,-105.130234134297,3337.22742294545,100.778162484334,-3340.58607791706,-103.498721419089,3338.31436570479,101.56235027323,-3339.98909150207,-103.026083264565,3338.70000903557,101.884687493475,-3339.71426753927,-102.787815532116,3338.90957514072,102.07133924523,-3339.54616466947,-102.634900352915,3339.04993813313,102.201250846859,-3339.42500430265,-102.521095570103,3339.15754875307,102.303646793091,-3339.3269858895,-102.426729437263,3339.24889980791,102.392550908558,-3339.24001421876,-102.341216560497,3339.33339759675,102.476456929205,-3339.15628836073,-102.257262800971,3339.41799180362,102.562116823639,-3339.06911608941,-102.16810032449,3339.50966454216,102.656875175388,-3338.97062569713,-102.065140908718,3339.61794502811,102.771475222095,-3338.8485202975,-101.934102976592,3339.7596568861,102.926016453412,-3338.67844062575,-101.745022842356,3339.9722441062,103.168100561297,-3338.39870588269,-101.416223054296,3340.36663096419,103.652987256228,-3337.78377195843,-100.604102196704,3341.50093000046,105.37611352582,-3334.75791653318,-93.1726490515307,3241.15057598834,92.0666260667433,-3247.48164236988,-92.7852921457121,3247.00231158175,92.3974936193549,-3247.34009840669,-92.7032510416278,3247.05682905282,92.4367610955478,-3247.31023973993,-92.6796325060668,3247.0760869831,92.4528486468889,-3247.29652996859,-92.6677511203658,3247.08653351697,92.4621500956064,-3247.28815515074,-92.6601348183539,3247.09352306318,92.4686178710165,-3247.28212421501,-92.6544710275291,3247.09887768683,92.4737122063823,-3247.27724840678,-92.6497775800289,3247.10342053741,92.47813277013,-3247.27292450364,-92.6455267558094,3247.10762036319,92.4823026533088,-3247.26876410008,-92.6413555553627,3247.11182284954,92.4865575343017,-3247.26443466155,-92.6369278624201,3247.11637457669,92.4912618047885,-3247.25954582947,-92.6318179783756,3247.12174768473,92.4969475401071,-3247.25348881635,-92.6253191229381,3247.1287744518,92.5046087117649,-3247.24505945015,-92.6159506647248,3247.13930435127,92.5165954080085,-3247.23121416863,-92.5996847819728,3247.15880355594,92.5405519394321,-3247.20086023965,-92.5596464806916,3247.21462787691,92.6251213542423,-3247.05312806936,-92.2021958735944,3247.04167978,110.714906617318,-3247.04167978,-110.714906617353,3247.04167978,110.714906617296,-3247.04167978,-110.714906617333,3247.04167978,110.714906617367,-3247.04167978,-110.714906617309,3247.04167978,110.714906617345,-3247.04167978,-110.714906617379,3247.04167978,110.714906617228,-3247.04167978,-110.714906617259,3247.04167978,110.714906617298,-3247.04167978,-110.714906617238,3247.04167978,110.714906617277,-3247.04167978,-110.714906617312,3247.04167978,110.71490661725,-3247.04167978,-110.71490661729
"re(SP(Dq3)) [uv]",-81.2668136280961,3341.01378494082,103.480822291629,-3338.39580935304,-101.630591483586,3339.95495737631,103.03123098539,-3338.65564820228,-101.802984303413,3339.83091468936,102.936978538639,-3338.73016202609,-101.86371464455,3339.78020006696,102.893772366856,-3338.76759667677,-101.896621350787,3339.75090600662,102.867401154342,-3338.79157572248,-101.918624034632,3339.73054845991,102.848420852188,-3338.8093985636,-101.935472208978,3339.71452087817,102.8330822548,-3338.82416212883,-101.949760799202,3339.70061810738,102.819484620386,-3338.83752885159,-101.962966090116,3339.68750801297,102.806405372524,-3338.85064099648,-101.976175522359,3339.67413497563,102.792799122062,-3338.86455486422,-101.990477929364,3339.65935456403,102.77744025252,-3338.8806066478,-102.007354875479,3339.6414975651,102.758419359659,-3338.90101257231,-102.029415495478,3339.61744867736,102.731963239538,-3338.93041093698,-102.062451965857,3339.57985010329,102.688546135112,-3338.98140314869,-102.123557876466,3339.50481014532,102.593522733303,-3339.10664578779,-102.297985201689,3339.24103474995,102.1342933578,-3340.20694290344,-111.632101206153,3245.64672023446,91.7797228261997,-3247.70750821062,-92.9459883740358,3246.88841974307,92.3176601893535,-3247.39420860027,-92.7372488407748,3247.03902374588,92.4323154269365,-3247.30343323274,-92.6631804756418,3247.10093415073,92.4851007278393,-3247.25766880041,-92.6229284498633,3247.13678522394,92.5173892553622,-3247.2282972795,-92.595967763852,3247.16173855558,92.5406617692319,-3247.20643752867,-92.5752977062825,3247.18140704821,92.5594894860465,-3247.1883112872,-92.5577505508085,3247.19848424289,92.5761955426415,-3247.17188539036,-92.5415195859104,3247.21460158869,92.592278333142,-3247.15575877057,-92.5252698904611,3247.23105604592,92.609023359316,-3247.13863138539,-92.5076602430954,3247.24925848182,92.6279427653612,-3247.11885343033,-92.4868600538964,3247.27127272461,92.651398865856,-3247.09368129208,-92.4596373305882,3247.30096013056,92.6840714168309,-3247.05735846914,-92.4187984078502,3247.34746595106,92.7378107105237,-3246.99419261367,-92.343031481643,3247.44062078077,92.8559525197823,-3246.83816219623,-92.1250922896126,3247.77171766932,93.4374436652695,-3245.40949950965,-110.714906617278,3247.04167978,110.714906617317,-3247.04167977999,-110.714906617257,3247.04167978,110.714906617293,-3247.04167978,-110.714906617331,3247.04167977999,110.714906617275,-3247.04167978,-110.714906617307,3247.04167978,110.714906617343,-3247.04167977999,-110.714906617289,3247.04167978,110.71490661723,-3247.04167978,-110.714906617259,3247.04167978,110.714906617209,-3247.04167978,-110.714906617241,3247.04167978,110.714906617277,-3247.04167978,-110.71490661722,3247.04167978,110.714906617255,-3247.04167978
"re(SP(Di4)) [uv]",1784.34323849001,-2923.49570519995,-1859.68422940815,2915.42183862749,1854.76044641435,-2919.13020626123,-1857.80247879397,2916.51569883975,1855.48848652349,-2918.60528171944,-1857.40304113724,2916.83183098584,1855.74636312004,-2918.38978330775,-1857.21934033312,2916.99107237374,1855.88640397919,-2918.26506918622,-1857.10703148654,2917.09322489945,1855.98016328687,-2918.17829791997,-1857.02611122737,2917.16922741118,1856.05202458125,-2918.10992303844,-1856.96066319002,2917.23223331874,1856.11301416595,-2918.05057017717,-1856.90260334863,2917.28931650585,1856.16941701165,-2917.99456502595,-1856.84672111828,2917.34534817263,1856.22587341074,-2917.93740018091,-1856.78854985746,2917.40484453515,1856.28704166798,-2917.87417642353,-1856.72283966906,2917.47353238418,1856.35927502557,-2917.79773219888,-1856.64139451088,2917.56092924756,1856.45378353292,-2917.69467651578,-1856.52798768995,2917.68699216491,1856.59550240954,-2917.53331539846,-1856.3415592901,2917.90608008364,1856.85823543059,-2917.21038002925,-1855.93215301082,2918.44651958197,1857.61257889415,-2916.06563399869,-1853.92587089971,2923.34665566731,1814.14319748332,-2838.41324982942,-1799.08051619159,2839.91988884741,1799.89456054789,-2839.37513388877,-1799.49787082489,2839.67667558032,1799.73246518938,-2839.49210845586,-1799.58693679883,2839.60615216387,1799.67491650943,-2839.54021415764,-1799.62795448824,2839.57058839264,1799.64363511217,-2839.5680764597,-1799.6530489408,2839.54776032593,1799.62268020843,-2839.58747166287,-1799.67113814037,2839.53076886029,1799.6066131513,-2839.6027604936,-1799.68577368855,2839.51667834396,1799.59297255345,-2839.61603598232,-1799.6987608747,2839.50390874686,1799.58035429763,-2839.62856610527,-1799.71126432869,2839.49137102207,1799.56772068854,-2839.64135911309,-1799.72428345785,2839.47805439263,1799.55402886665,-2839.65551208528,-1799.73899416288,2839.46267583666,1799.53785514181,-2839.67263018665,-1799.75723384669,2839.44310127969,1799.51668544858,-2839.69571718129,-1799.78264307955,2839.41485228907,1799.48492297783,-2839.73188866063,-1799.82444274657,2839.36571750855,1799.42598200764,-2839.80436249162,-1799.91636661348,2839.24429499918,1799.25634587787,-2840.0621636752,-1800.36942005143,2838.12918789493,1815.97074487228,-2829.96703682804,-1815.97074487231,2829.96703682802,1815.97074487226,-2829.96703682805,-1815.97074487229,2829.96703682803,1815.97074487232,-2829.96703682801,-1815.97074487227,2829.96703682804,1815.9707448723,-2829.96703682803,-1815.97074487233,2829.967036828,1815.97074487229,-2829.96703682809,-1815.97074487224,2829.96703682807,1815.97074487226,-2829.96703682805,-1815.97074487222,2829.96703682808,1815.97074487224,-2829.96703682806,-1815.97074487228,2829.96703682804,1815.97074487223,-2829.96703682808,-1815.97074487226,2829.96703682806
"re(SP(Dq4)) [uv]",2836.21969820962,1850.05283462311,-2920.84889526939,-1858.57081789907,2916.19129126086,1855.41325376915,-2918.52426973702,-1857.21641199309,2917.09387034948,1856.06454617386,-2918.02839144058,-1856.82378458731,2917.41425377896,1856.33235260737,-2917.80004875088,-1856.6258068023,2917.58838975233,1856.48745332487,-2917.66035737459,-1856.49873284711,2917.70503553104,1856.59541608043,-2917.55966524702,-1856.40415187348,2917.79447026851,1856.6805183791,-2917.4781998324,-1856.32572072916,2917.8703966161,1856.75441203606,-2917.40591131748,-1856.25464373059,2917.94063085698,1856.82415535332,-2917.33631680733,-1856.18485883618,2918.01094907103,1856.89536039379,-2917.26385358363,-1856.11074016527,2918.08715558211,1856.97413313267,-2917.18197710897,-1856.025147125,2918.17717372481,1857.06940672409,-2917.08046192571,-1855.91620341657,2918.29499426829,1857.19789685335,-2916.93904889784,-1855.75898775395,2918.4717614131,1857.39919842277,-2916.70642927888,-1855.48555290127,2918.79975980298,1857.80249338241,-2916.19492008273,-1854.80993300695,2919.74358226463,1859.23668629681,-2913.67504323196,-1848.61146128011,2823.91695955841,1798.3790846398,-2840.24138402885,-1800.11788852951,2839.19130706402,1799.33375018431,-2839.8296056678,-1799.87846245878,2839.35068344747,1799.44867228312,-2839.74215108431,-1799.80924391103,2839.4071487535,1799.4958597632,-2839.70192529454,-1799.77437336978,2839.4378153437,1799.52317049811,-2839.67733079488,-1799.75200271025,2839.45834819316,1799.54217320652,-2839.65960926443,-1799.73535800886,2839.47408609965,1799.55714770088,-2839.64527565072,-1799.7215591336,2839.48744348086,1799.57014671565,-2839.63255973398,-1799.70905703163,2839.49979666145,1799.58241287691,-2839.62032041268,-1799.6967848986,2839.51216190325,1799.59493336981,-2839.60757940217,-1799.68375356458,2839.52555952501,1799.60878130915,-2839.59318674681,-1799.66870858363,2839.54138122744,1799.6255254928,-2839.57534699896,-1799.64956497866,2839.56208281124,1799.64809956098,-2839.55050521408,-1799.62195046863,2839.59312732365,1799.68344750659,-2839.50966511673,-1799.57395456198,2839.65068639043,1799.75419827131,-2839.41996540811,-1799.45553819945,2839.81598678357,1800.00508475764,-2838.98014045795,-1798.38046717639,2829.96703682807,1815.97074487231,-2829.96703682804,-1815.97074487234,2829.96703682807,1815.97074487229,-2829.96703682806,-1815.97074487233,2829.96703682803,1815.97074487236,-2829.96703682806,-1815.9707448723,2829.96703682805,1815.97074487234,-2829.96703682803,-1815.97074487237,2829.96703682805,1815.97074487223,-2829.96703682809,-1815.97074487226,2829.96703682807,1815.97074487229,-2829.9670368281,-1815.97074487224,2829.96703682809,1815.97074487228,-2829.96703682806,-1815.9707448723,2829.96703682809,1815.97074487225,-2829.96703682807,-1815.97074487229
"re(SP(Di5)) [uv]",-2739.44258191794,-848.619401395329,2810.71313649548,856.068138567621,-2806.61815395439,-853.27860291703,2808.68961419669,854.888522392353,-2807.40448422568,-853.84611816228,2808.25746443392,854.546319966784,-2807.68374279612,-854.079563425221,2808.05840893962,854.37372699991,-2807.83555689018,-854.214786970809,2807.93661619968,854.262931956346,-2807.93726222187,-854.30892360787,2807.84881720829,854.180459967666,-2808.01524830087,-854.383133170168,2807.777777819,854.112065407193,-2808.08145963419,-854.447572882369,2807.71473695202,854.050080169739,-2808.14271079199,-854.508396769178,2807.65404198485,853.989218305024,-2808.20403865356,-854.570498964105,2807.59084153336,853.924573057952,-2808.27050589706,-854.639205547867,2807.51942666883,853.849915236718,-2808.34902487697,-854.72231019568,2807.4308758721,853.75488256592,-2808.45180327654,-854.834398818344,2807.30751051978,853.617727160397,-2808.6060207692,-855.010027840378,2807.1045483343,853.379140706698,-2808.89223511104,-855.361974394739,2806.65812071785,852.789403750653,-2809.7162389349,-856.614472378342,2804.45624009959,847.364545064886,-2725.28002963135,-808.921992458676,2738.83192053579,810.344474473753,-2737.97033312609,-809.699157922971,2738.49711165217,810.149891888618,-2738.09982626762,-809.792516813384,2738.42607464157,810.093672398434,-2738.14568440944,-809.830837866503,2738.39340870596,810.065356388557,-2738.17058582164,-809.85301363994,2738.37343899863,810.047192787245,-2738.18725686559,-809.868442017238,2738.35905108618,810.033679378238,-2738.20003385912,-809.880599035289,2738.34741454021,810.022477113206,-2738.2108775582,-809.891151665882,2738.33709186465,810.012328141166,-2738.22090551157,-809.90110885452,2738.32715658775,810.002366353851,-2738.23094275294,-809.911271988829,2738.31681458823,809.991788835212,-2738.24181744002,-809.92251203661,2738.30513257615,809.979577537586,-2738.2546589622,-809.936102053775,2738.29065362815,809.964040660299,-2738.27145994316,-809.954422293646,2738.27049349437,809.941630959432,-2738.29665238093,-809.983105936855,2738.23735450118,809.90268736481,-2738.34335278914,-810.040505330752,2738.16458860755,809.806637690984,-2738.47740772079,-810.243912873363,2737.80818376565,808.936781069642,-2730.97014663604,-824.391154660827,2730.97014663603,824.391154660856,-2730.97014663604,-824.391154660808,2730.97014663604,824.39115466084,-2730.97014663602,-824.391154660868,2730.97014663604,824.391154660821,-2730.97014663603,-824.391154660849,2730.97014663602,824.391154660879,-2730.97014663604,-824.391154660753,2730.97014663605,824.391154660778,-2730.97014663605,-824.391154660811,2730.97014663605,824.39115466076,-2730.97014663605,-824.391154660794,2730.97014663604,824.391154660822,-2730.97014663605,-824.39115466077,2730.97014663604,824.391154660804
"re(SP(Dq5)) [uv]",794.390115078967,-2812.64873020126,-856.835279230787,2806.09096451739,852.822248444246,-2809.12400274977,-855.318405062004,2806.97217989159,853.408561617881,-2808.70135623776,-854.996844394905,2807.22664749388,853.616118129456,-2808.52792135139,-854.849009587894,2807.35479164873,853.728806174307,-2808.42757044347,-854.758643782877,2807.4369828383,853.804242025572,-2808.35775884024,-854.693541222699,2807.4981275057,853.862053775406,-2808.30275302497,-854.640891024823,2807.54881214555,853.911115495958,-2808.25500878302,-854.594187719065,2807.59472904687,853.956484376643,-2808.20996054776,-854.549239102238,2807.63979711391,854.001893311481,-2808.16398257216,-854.502452462692,2807.68764868456,854.051088666359,-2808.11313499616,-854.449606194582,2807.74288857713,854.109178692841,-2808.05165995919,-854.38411104767,2807.81316808194,854.185174891363,-2807.96879327331,-854.292924037722,2807.91452779054,854.299117969911,-2807.83906371788,-854.143049193112,2808.09064735631,854.510306712914,-2807.57950784123,-853.814032809831,2808.52489772179,855.116292330377,-2806.66023545857,-852.204028171894,2812.44933372065,822.161802970338,-2737.26627417353,-809.457473846876,2738.5934450783,810.179256048204,-2738.10751264911,-809.823097151958,2738.38024568513,810.037116465576,-2738.21010834685,-809.901226690268,2738.31837482737,809.986623961293,-2738.25231875565,-809.937219886368,2738.28716586388,809.959171770002,-2738.27677134616,-809.959244117597,2738.26713010381,809.940779522803,-2738.2937950826,-809.975121923726,2738.25221549463,809.926676030086,-2738.30721572872,-809.987969362166,2738.23984626896,809.914701546929,-2738.31886990069,-809.999370634345,2738.22863582941,809.90362378913,-2738.32987046315,-810.010347959949,2738.21762823888,809.89253183688,-2738.34110254645,-810.021778764202,2738.20593603133,809.880509995872,-2738.35352951408,-810.034695686959,2738.19243243202,809.866307886272,-2738.36856120102,-810.050712619426,2738.17524287864,809.847717060909,-2738.38883634637,-810.07302787289,2738.1504327848,809.819820104888,-2738.42060715179,-810.109744027965,2738.10727096479,809.768040389237,-2738.48428122503,-810.190515777847,2738.00056299112,809.618929061679,-2738.71096789894,-810.589145588935,2737.01763250055,824.391154660794,-2730.97014663603,-824.391154660827,2730.97014663602,824.391154660776,-2730.97014663603,-824.391154660807,2730.97014663602,824.391154660838,-2730.97014663602,-824.391154660791,2730.97014663603,824.391154660818,-2730.97014663602,-824.391154660847,2730.97014663601,824.391154660803,-2730.97014663605,-824.391154660753,2730.97014663604,824.391154660778,-2730.97014663603,-824.391154660735,2730.97014663605,824.391154660763,-2730.97014663604,-824.391154660792,2730.97014663603,824.391154660745,-2730.97014663605,-824.391154660775,2730.97014663603
