"Time [us]",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
"re(SP(Di1)) [uv]",-1514.75806792268,2681.18595755121,1578.44132684957,-2674.32587629663,-1574.21347711656,2677.53905558653,1576.87057219432,-2675.23868054488,-1574.8209123838,2677.10113453639,1576.53736406841,-2675.50238099916,-1575.0360096982,2676.92139171463,1576.38414756627,-2675.63519362617,-1575.15280586185,2676.81738030247,1576.29048376194,-2675.72038588645,-1575.23099730594,2676.74501754853,1576.22300126552,-2675.78376656596,-1575.29092386515,2676.68799895514,1576.16842392738,-2675.83630691768,-1575.34178236004,2676.63850573319,1576.12000933899,-2675.88390670542,-1575.38881444977,2676.59180564244,1576.07341212102,-2675.93062815454,-1575.43588967694,2676.54414007897,1576.0249077839,-2675.98023696725,-1575.48689209317,2676.49142424845,1575.97011928218,-2676.03750765704,-1575.54711835058,2676.42768776764,1575.90221397773,-2676.11037433169,-1575.62591327772,2676.34176801075,1575.80766575099,-2676.21547220398,-1575.74406109095,2676.20724793323,1575.65225215921,-2676.39810638919,-1575.96307027755,2675.93806744899,1575.31101425285,-2676.84852483612,-1576.59169310634,2674.98427410417,1573.63994699134,-2680.92611094438,-1543.88676749062,2597.53944718795,1528.35192927592,-2599.0956275384,-1529.20173398245,2598.52023717762,1528.77717841317,-2598.84788157295,-1529.03664228566,2598.63936262479,1528.86787596117,-2598.77606991192,-1528.97804471334,2598.6883435173,1528.90963875617,-2598.73986094441,-1528.94619644815,2598.71671022809,1528.93518710806,-2598.71662030111,-1528.92486309712,2598.73645547606,1528.95360257918,-2598.6993225412,-1528.90850656752,2598.75201961584,1528.96850154261,-2598.68497853934,-1528.89462069021,2598.76553371294,1528.98172205433,-2598.67197962317,-1528.8817759279,2598.77828866714,1528.99444976847,-2598.6592171164,-1528.8689159118,2598.79131084236,1529.00770201625,-2598.64566214511,-1528.85497914231,2598.80571689545,1529.0226756496,-2598.63000886138,-1528.83851663608,2598.82314047063,1529.04124063003,-2598.61008542161,-1528.81696988713,2598.84663836431,1529.06710172278,-2598.58133452759,-1528.78464366533,2598.88345110255,1529.10964142882,-2598.53133122407,-1528.72466282414,2598.95720053985,1529.20317835008,-2598.40778666106,-1528.55207923531,2599.21943982832,1529.6638945758,-2597.27477330927,-1544.95919776176,2591.07987375361,1544.95919776179,-2591.07987375359,-1544.95919776174,2591.07987375362,1544.95919776177,-2591.0798737536,-1544.9591977618,2591.07987375358,1544.95919776176,-2591.07987375361,-1544.95919776178,2591.07987375359,1544.95919776181,-2591.07987375358,-1544.95919776177,2591.07987375365,1544.95919776172,-2591.07987375363,-1544.95919776175,2591.07987375362,1544.95919776171,-2591.07987375364,-1544.95919776173,2591.07987375363,1544.95919776176,-2591.07987375361,-1544.95919776171,2591.07987375364,1544.95919776174,-2591.07987375362
"re(SP(Dq1)) [uv]",-2593.60241831041,-1569.19520419951,2679.50362552967,1577.84758054866,-2674.73126345656,-1574.58175632289,2677.16916453346,1576.48777325339,-2675.63732272839,-1575.23550467916,2676.67144610376,1576.09370659463,-2675.95886921125,-1575.50427557411,2676.44228657042,1575.89502464832,-2676.13362145109,-1575.65992276657,2676.30210495939,1575.76750633565,-2676.25067378586,-1575.76826067795,2676.20106392306,1575.67259849132,-2676.34041684149,-1575.85365566754,2676.11931895689,1575.59389879039,-2676.41660262485,-1575.927801301,2676.04678442906,1575.52258037434,-2676.48707496077,-1575.99778059673,2675.97695489319,1575.45256026186,-2676.55762973411,-1576.06922471297,2675.90424885175,1575.37819372961,-2676.63409055718,-1576.14825976122,2675.8221003432,1575.29231697336,-2676.72440634841,-1576.24384755634,2675.72025130372,1575.18301604937,-2676.8426119631,-1576.37275614314,2675.57837952787,1575.0252925915,-2677.01994725338,-1576.57470108553,2675.345021286,1574.75099621622,-2677.34896942434,-1576.97924019333,2674.83195784472,1574.0733653334,-2678.29551766091,-1578.41737488498,2672.30581862067,1567.86412331137,-2585.23639559426,-1527.84606092602,2599.31095069509,1529.35064937242,-2598.39443853017,-1528.6610372933,2598.95965565013,1529.14644178183,-2598.53035294692,-1528.75903304332,2598.88508644949,1529.08742449488,-2598.57849477677,-1528.7992634857,2598.85079215659,1529.05769641884,-2598.60463839322,-1528.82254582274,2598.8298257045,1529.03862600475,-2598.62214191503,-1528.83874477835,2598.81471904733,1529.02443741994,-2598.63555739443,-1528.85150939478,2598.80250083031,1529.0126751131,-2598.64694328305,-1528.862589731,2598.79166188203,1529.0020184918,-2598.65747289478,-1528.87304509928,2598.78122946083,1528.99155817248,-2598.66801250615,-1528.88371696805,2598.7703697079,1528.98045104115,-2598.67943175725,-1528.89551995275,2598.75810254087,1528.96762798596,-2598.69291670986,-1528.90979101591,2598.74289787248,1528.95131221638,-2598.71056012528,-1528.92903007128,2598.72172640209,1528.9277780266,-2598.73701706809,-1528.95915395201,2598.68692280122,1528.88687733665,-2598.7860657096,-1529.01944156487,2598.61049221803,1528.78598456945,-2598.92689159862,-1529.2331507704,2598.23594411107,1527.87117813809,-2591.07987375362,-1544.95919776179,2591.07987375361,1544.95919776182,-2591.07987375363,-1544.95919776177,2591.07987375362,1544.9591977618,-2591.0798737536,-1544.95919776183,2591.07987375362,1544.95919776179,-2591.07987375361,-1544.95919776181,2591.07987375359,1544.95919776184,-2591.07987375362,-1544.95919776172,2591.07987375365,1544.95919776174,-2591.07987375363,-1544.95919776178,2591.07987375366,1544.95919776173,-2591.07987375364,-1544.95919776176,2591.07987375362,1544.95919776179,-2591.07987375365,-1544.95919776174,2591.07987375364,1544.95919776177
"re(SP(Di2)) [uv]",1495.18101978611,2711.63819655236,-1523.83402021078,-2714.40102829546,1522.56100043526,2713.71194599528,-1522.92804781601,-2713.8717203783,1522.91425987871,2713.9670988939,-1522.73364919981,-2713.71772089044,1523.03997340163,2714.07221607066,-1522.64399779253,-2713.63997340541,1523.10837164516,2714.13314820694,-1522.58911072182,-2713.59003689683,1523.15421605204,2714.17558499335,-1522.54952746756,-2713.55285221415,1523.18938085842,2714.20904937269,-1522.51749042663,-2713.52200586505,1523.21924448446,2714.23811575301,-1522.48905328018,-2713.49404323218,1523.24687758808,2714.26555769567,-1522.46166791337,-2713.46658096818,1523.27455173459,2714.2935829106,-1522.43314537586,-2713.43740460953,1523.30455229397,2714.32459621822,-1522.40090742432,-2713.40370037424,1523.34000224673,2714.36211942621,-1522.36092189163,-2713.36078413532,1523.38642083399,2714.4127481068,-1522.30519334328,-2713.29881829476,1523.45610509317,2714.49212012969,-1522.21345153849,-2713.19095016593,1523.58554050952,2714.65133349347,-1522.01141317175,-2712.92390700434,1523.95895790956,2715.21963747083,-1521.01001354972,-2710.44061477036,1469.86537999622,2632.26890863478,-1489.62019739434,-2634.32074408195,1488.42644873466,2633.45910660494,-1489.10579565972,-2634.02142074255,1488.62577892272,2633.60287663953,-1488.99636746361,-2633.9347982392,1488.69644945507,2633.66194063575,-1488.94601352323,-2633.89114509312,1488.73484197408,2633.69613352927,-1488.9152199922,-2633.86313481308,1488.76055205952,2633.71992844513,-1488.89302866787,-2633.84229132241,1488.78026053897,2633.73868138773,-1488.8750778793,-2633.82500981303,1488.79698950474,2633.7549618864,-1488.85915160457,-2633.80935100707,1488.8124621063,2633.77032580797,-1488.84382098999,-2633.79397898121,1488.82795107604,2633.78600957213,-1488.82786066069,-2633.7776546223,1488.84473465194,2633.80335766596,-1488.80982974716,-2633.75880602308,1488.86455685021,2633.82433616328,-1488.78747799102,-2633.73481989761,1488.89049592352,2633.85262248735,-1488.75634887152,-2633.70021475387,1488.92940131688,2633.8969235136,-1488.70516126154,-2633.64005365232,1489.00155617628,2633.98562536352,-1488.59268625003,-2633.49154163833,1489.20892563959,2634.3005010392,-1488.04022533985,-2632.13798375464,1473.86164574593,2641.96362052942,-1473.8616457459,-2641.96362052943,1473.86164574595,2641.9636205294,-1473.86164574592,-2641.96362052942,1473.86164574589,2641.96362052944,-1473.86164574594,-2641.96362052941,1473.86164574591,2641.96362052943,-1473.86164574588,-2641.96362052944,1473.86164574593,2641.96362052938,-1473.86164574597,-2641.96362052939,1473.86164574595,2641.96362052941,-1473.86164574599,-2641.96362052938,1473.86164574596,2641.9636205294,-1473.86164574593,-2641.96362052941,1473.86164574598,2641.96362052939,-1473.86164574595,-2641.9636205294
"re(SP(Dq2)) [uv]",-2619.37966301591,1530.41744626907,2717.81744214753,-1520.17219991716,-2711.82386989065,1524.52093923468,2715.26993633618,-1521.65434845848,-2712.81080970859,1523.80912871659,2714.7281725002,-1522.08319313658,-2713.16067320533,1523.51672979829,2714.47889660971,-1522.29929432259,-2713.35073012651,1523.34746409984,2714.32646008144,-1522.43795196467,-2713.47800039674,1523.22967504379,2714.21660971617,-1522.54112980148,-2713.57555929836,1523.13684658462,2714.12775238211,-1522.62667379595,-2713.65836783743,1523.05625829028,2714.04891780582,-1522.70418410829,-2713.73495615329,1522.98020822187,2713.97303289108,-1522.78027371661,-2713.81162432768,1522.90257614169,2713.89403216672,-1522.86107599931,-2713.89469930229,1522.81670729075,2713.80478391445,-1522.95437115388,-2713.99281302248,1522.71287077421,2713.69415082297,-1523.07309309643,-2714.12120049438,1522.57286635006,2713.54007700333,-1523.24437010872,-2714.31375966105,1522.35360424308,2713.28673375005,-1523.54212165835,-2714.67086499274,1521.91461470792,2712.73010490323,-1524.27706767236,-2715.6970273911,1520.35658829722,2709.99691295493,-1530.97059355413,-2637.37047257174,1488.54118506705,2633.6720038159,-1488.88332726565,-2633.80519284355,1488.83245378441,2633.79980065231,-1488.80854348225,-2633.75523911683,1488.86855440607,2633.82731610074,-1488.78673980287,-2633.73743615414,1488.88344338669,2633.84001645631,-1488.77572434465,-2633.72774420924,1488.89207826386,2633.84779536745,-1488.76864648281,-2633.72124587169,1488.89809398645,2633.85340693334,-1488.76337464431,-2633.71626012522,1488.90283889027,2633.85794968115,-1488.75900052402,-2633.71202516364,1488.90696097823,2633.86198270897,-1488.7550346239,-2633.70810583557,1488.91085335494,2633.86586722163,-1488.75113904241,-2633.70418003492,1488.91482912451,2633.86991371589,-1488.74699961043,-2633.69992347846,1488.91922957474,2633.87448814813,-1488.74221688064,-2633.69489276334,1488.92455480001,2633.88016315469,-1488.73612554655,-2633.68830387551,1488.93174181987,2633.88807476988,-1488.72732765055,-2633.67840912132,1488.94301347342,2633.90110478859,-1488.71200483511,-2633.66001920307,1488.96563939903,2633.92982505139,-1488.67402908024,-2633.60688650503,1489.04657296446,2634.07267090917,-1488.31817702169,-2641.9636205294,1473.8616457459,2641.96362052942,-1473.86164574587,-2641.96362052939,1473.86164574592,2641.9636205294,-1473.86164574589,-2641.96362052942,1473.86164574586,2641.9636205294,-1473.86164574591,-2641.96362052941,1473.86164574588,2641.96362052942,-1473.86164574585,-2641.9636205294,1473.86164574598,2641.96362052937,-1473.86164574595,-2641.96362052939,1473.86164574592,2641.96362052937,-1473.86164574597,-2641.96362052938,1473.86164574593,2641.9636205294,-1473.86164574591,-2641.96362052937,1473.86164574596,2641.96362052939,-1473.86164574593
"re(SP(Di3)) [uv]",2871.6938913249,-206.964896390107,-2964.05484345728,197.382662699431,2958.56259561708,-201.289602986059,-2961.59890143692,198.812421730037,2959.51497028581,-200.602573386038,-2961.07591859263,199.226447531791,2959.85277467905,-200.320232125411,-2960.83520229361,199.435139176543,2960.03632336259,-200.156756180931,-2960.68797464305,199.569063068307,2960.15925223429,-200.042982050045,-2960.58186596684,199.66872881044,2960.2534923669,-199.953309581056,-2960.49602791656,199.751367670884,2960.33349013208,-199.875455318402,-2960.41986655856,199.826250939037,2960.40748388879,-199.801980359573,-2960.34654995395,199.899766520248,2960.48155969032,-199.726971989972,-2960.27021789929,199.977840629592,2960.56183118518,-199.643999379531,-2960.18397822871,200.067992570612,2960.65664132553,-199.543656925081,-2960.07706539767,200.182725127525,2960.78071798446,-199.408349380401,-2959.9281556316,200.348267449672,2960.96683741775,-199.196410277518,-2959.6832606164,200.636107882935,2961.3120819101,-198.771961874017,-2959.14500578289,201.346906403418,2962.30475307431,-197.264247260933,-2956.49829192645,207.841074593356,2877.67334676175,-198.341673701501,-2881.05859375357,197.946470046771,2880.77276001545,-198.191105965062,-2880.99501844657,197.983133264954,2880.79705552227,-198.173638023435,-2880.9817529218,197.993616333587,2880.80559665026,-198.166507408123,-2880.97567936738,197.998877577688,2880.81022075323,-198.162391557658,-2880.97197466058,198.002245831837,2880.8133110652,-198.159532588151,-2880.96930935084,198.004748392255,2880.81567658021,-198.157282456724,-2880.96715610251,198.006820773038,2880.81768215367,-198.155331164479,-2880.96524775818,198.008696593593,2880.81953520594,-198.153491582656,-2880.96341261576,198.010536240261,2880.82138838929,-198.151615562287,-2880.96150399874,198.012487883671,2880.82339440003,-198.14954264829,-2880.95935010882,198.01473878126,2880.82576082565,-198.147039006916,-2880.95668351439,198.017599281798,2880.8288529713,-198.143668542244,-2880.95297612021,198.021718433643,2880.83348118151,-198.13840210953,-2880.94689588915,198.028857835785,2880.84203419837,-198.127902384788,-2880.9336059553,198.046363774897,2880.86639414765,-198.091114405412,-2880.86972471083,198.198257952337,2882.76114225174,-182.604846338876,-2882.76114225175,182.604846338844,2882.76114225174,-182.604846338895,-2882.76114225175,182.604846338862,2882.76114225175,-182.604846338832,-2882.76114225175,182.604846338883,2882.76114225175,-182.604846338852,-2882.76114225175,182.604846338821,2882.76114225175,-182.604846338955,-2882.76114225174,182.604846338928,2882.76114225174,-182.604846338893,-2882.76114225174,182.604846338946,2882.76114225174,-182.604846338912,-2882.76114225175,182.604846338881,2882.76114225174,-182.604846338936,-2882.76114225175,182.6048463389
"re(SP(Dq3)) [uv]",207.593996576059,2961.02620262915,-199.338552747449,-2959.94422316915,200.262748955936,2960.81338548556,-199.422539844119,-2959.99133365236,200.232015014128,2960.79151428004,-199.439027366581,-2960.00429010689,200.221505465134,2960.78277213886,-199.446450893377,-2960.0107040216,200.215881062695,2960.77777596048,-199.450939936072,-2960.01477877085,200.212148083253,2960.77432714038,-199.454151070688,-2960.01779025346,200.209304696211,2960.771625314,-199.456733947416,-2960.02027370945,200.206903557971,2960.76929129582,-199.459014558741,-2960.02251349014,200.204692874329,2960.76709856219,-199.46120013318,-2960.02470255542,200.202489599561,2960.76487007851,-199.463465330107,-2960.02701672082,200.200113179885,2960.76241676107,-199.46601193941,-2960.02967524953,200.197321266085,2960.75946638738,-199.469150456748,-2960.03303752133,200.193691934688,2960.7555165853,-199.473487600541,-2960.03784710139,200.188299675977,2960.74939592176,-199.480533783114,-2960.04609266117,200.178461972458,2960.73738062711,-199.495642262717,-2960.06581760125,200.151366567891,2960.69730859343,-199.562408157221,-2960.20478172964,180.925892306373,2879.51257343225,-198.785994161292,-2881.36118455667,197.732267932522,2880.61567902824,-198.308477430179,-2881.08315762171,197.917476469271,2880.74929160507,-198.206765341817,-2881.00263414936,197.98317689911,2880.80420567473,-198.159946562533,-2880.96204367076,198.018877399548,2880.83600224922,-198.131310128494,-2880.93599471076,198.042787904581,2880.85813221294,-198.110671053669,-2880.91660875382,198.06111860753,2880.87557452895,-198.093974510159,-2880.90053443084,198.076679260125,2880.89071829462,-198.079159987542,-2880.8859684667,198.091072248306,2880.90501041524,-198.06489862276,-2880.87166835057,198.105481384906,2880.91960100254,-198.050050502778,-2880.85648131348,198.12109591447,2880.93574101603,-198.033274909994,-2880.83894462515,198.139538809543,2880.95526016717,-198.012477557194,-2880.81662601879,198.163675228239,2880.98158146529,-197.983510040002,-2880.7844227286,198.199881717696,2881.02281112629,-197.935868782984,-2880.7284262819,198.26704654819,2881.1053860315,-197.831150779407,-2880.59013537885,198.460186454605,2881.39875658797,-197.316085408915,-2879.32585617221,182.604846338911,2882.76114225175,-182.604846338877,-2882.76114225175,182.604846338929,2882.76114225175,-182.604846338897,-2882.76114225175,182.604846338864,2882.76114225175,-182.604846338914,-2882.76114225175,182.604846338885,2882.76114225175,-182.604846338854,-2882.76114225175,182.604846338901,2882.76114225174,-182.604846338954,-2882.76114225174,182.604846338928,2882.76114225175,-182.604846338972,-2882.76114225174,182.604846338945,2882.76114225175,-182.604846338912,-2882.76114225175,182.604846338962,2882.76114225174,-182.604846338932,-2882.76114225175
"re(SP(Di4)) [uv]",1140.17735394561,-2595.25234719795,-1189.59187388428,2589.8444269688,1186.22729854186,-2592.42138751754,-1188.37262320057,2590.55294695094,1186.69878454218,-2592.0814798475,-1188.11399365618,2590.75762509741,1186.8657374733,-2591.94196855398,-1187.99507162714,2590.86071004285,1186.95639078741,-2591.86123846663,-1187.92237309893,2590.92683317557,1187.01708007191,-2591.80507325321,-1187.86999580653,2590.97602675222,1187.06359265718,-2591.76081774994,-1187.82763513864,2591.01680636544,1187.10306685556,-2591.72240324494,-1187.7900578479,2591.05375121895,1187.13957106307,-2591.68615674364,-1187.75389121509,2591.09001425096,1187.17610865761,-2591.6491609818,-1187.71624446167,2591.12851821956,1187.21569424655,-2591.60824555353,-1187.67372035982,2591.17296883751,1187.26243878884,-2591.5587765978,-1187.62101582723,2591.22952406988,1187.3235951505,-2591.4920904052,-1187.54763278325,2591.31109504423,1187.4152946005,-2591.38768394417,-1187.42701027165,2591.4528441694,1187.58527521051,-2591.17876440291,-1187.16216588159,2591.80242453893,1188.07315999674,-2590.43851921838,-1185.86527151955,2594.96679776108,1164.65837519802,-2521.37223206238,-1150.55406380382,2522.78757513938,1151.33203003438,-2522.25710676595,-1150.93757851646,2522.56417549323,1151.18317377717,-2522.36451178537,-1151.0193496776,2522.49943321133,1151.13034585275,-2522.40866915762,-1151.05699923847,2522.46679087411,1151.10163498399,-2522.43424120666,-1151.08003040136,2522.44584020467,1151.08240380509,-2522.45204066253,-1151.09663102757,2522.43024722298,1151.06765936541,-2522.4660707427,-1151.11006143237,2522.41731713495,1151.0551422966,-2522.47825262988,-1151.12197862804,2522.40559973515,1151.04356389783,-2522.48975003083,-1151.13345143102,2522.39409561369,1151.03197192576,-2522.50148812725,-1151.14539686642,2522.38187735538,1151.01940957151,-2522.51447343039,-1151.15889371486,2522.36776795212,1151.0045708305,-2522.53017836643,-1151.1756273791,2522.34980993563,1150.98514976348,-2522.55135794529,-1151.19893682858,2522.32389602833,1150.95601359396,-2522.58453753661,-1151.23727770925,2522.27882888268,1150.9019547934,-2522.65100411294,-1151.32157543461,2522.16749159323,1150.7464320094,-2522.88730039507,-1151.73664999894,2521.14716181273,1165.23286811466,-2516.6739025783,-1165.23286811469,2516.67390257828,1165.23286811465,-2516.67390257831,-1165.23286811468,2516.67390257829,1165.23286811471,-2516.67390257828,-1165.23286811466,2516.6739025783,1165.23286811469,-2516.67390257829,-1165.23286811471,2516.67390257827,1165.23286811467,-2516.67390257834,-1165.23286811463,2516.67390257832,1165.23286811465,-2516.6739025783,-1165.23286811461,2516.67390257833,1165.23286811463,-2516.67390257831,-1165.23286811466,2516.6739025783,1165.23286811462,-2516.67390257832,-1165.23286811465,2516.67390257831
"re(SP(Dq4)) [uv]",2517.15090336791,1181.57640925759,-2594.31412388672,-1189.36385218194,2589.99501879946,1186.39095254351,-2592.22820661304,-1188.14896024638,2590.80446811939,1186.97497049375,-2591.78358868202,-1187.79694321954,2591.09169855492,1187.21505437979,-2591.5788906021,-1187.619471138,2591.24779418529,1187.35408359838,-2591.45367657567,-1187.50556898924,2591.35234732893,1187.45085239001,-2591.36342586022,-1187.42079685746,2591.43250592314,1187.52712699488,-2591.29041171423,-1187.35050297136,2591.50055417024,1187.59335278716,-2591.22562514471,-1187.28680281097,2591.56349843493,1187.65585648885,-2591.16325539422,-1187.22426303296,2591.62651556277,1187.71966775059,-2591.09831723071,-1187.15784199709,2591.69480690642,1187.79025803668,-2591.02494640983,-1187.08114157801,2591.77547171865,1187.87563114969,-2590.9339815328,-1186.98352161816,2591.88104420017,1187.99076210603,-2590.8072736374,-1186.8426572717,2592.03942288548,1188.17111821936,-2590.59886448663,-1186.59768963385,2592.3332607843,1188.53239142853,-2590.1406837058,-1185.99256285472,2593.17849673304,1189.81651399881,-2587.88534873383,-1180.4508613826,2511.7949796871,1150.21701061067,-2522.91794393967,-1151.42167704177,2522.1785574595,1150.86181354555,-2522.63999961564,-1151.26010784244,2522.28609315684,1150.93934798349,-2522.58100028568,-1151.21341320842,2522.32418311023,1150.97117843123,-2522.55386653254,-1151.18989225695,2522.34486802823,1150.98959949741,-2522.53727780087,-1151.17480367587,2522.35871687963,1151.00241617223,-2522.52532535581,-1151.1635776124,2522.36933125979,1151.01251558767,-2522.51565825317,-1151.1542712272,2522.37833982185,1151.0212823959,-2522.50708243163,-1151.14583966309,2522.38667089586,1151.0295547286,-2522.49882825433,-1151.13756341226,2522.39500988336,1151.03799835918,-2522.49023596849,-1151.12877539903,2522.40404484768,1151.04733693587,-2522.48053012799,-1151.11862973653,2522.41471420728,1151.05862827071,-2522.46850011919,-1151.10572061793,2522.42867376718,1151.07385031052,-2522.45174914084,-1151.08710024134,2522.44960664444,1151.09768449282,-2522.42421233279,-1151.05473937439,2522.48841422923,1151.1453844368,-2522.36373994023,-1150.97491228619,2522.59983680101,1151.31447316325,-2522.06739277248,-1150.25109145535,2516.67390257832,1165.2328681147,-2516.6739025783,-1165.23286811472,2516.67390257832,1165.23286811468,-2516.67390257831,-1165.23286811471,2516.67390257829,1165.23286811473,-2516.67390257832,-1165.23286811469,2516.6739025783,1165.23286811472,-2516.67390257829,-1165.23286811474,2516.67390257831,1165.23286811463,-2516.67390257833,-1165.23286811465,2516.67390257832,1165.23286811468,-2516.67390257834,-1165.23286811463,2516.67390257833,1165.23286811467,-2516.67390257832,-1165.23286811469,2516.67390257833,1165.23286811464,-2516.67390257832,-1165.23286811467
"re(SP(Di5)) [uv]",-3166.10608256967,-229.060973031298,3268.50342739238,239.591935228243,-3262.54846373238,-235.41197615565,3265.75333420481,237.990546756573,-3263.61530225908,-236.181643338473,3265.16741073141,237.526672385269,-3263.99379156651,-236.497998663199,3264.89768852343,237.292828973199,-3264.19946539927,-236.68118302259,3264.73270903594,237.142755452734,-3264.33721960311,-236.808679753357,3264.61380115405,237.031066659492,-3264.44282917836,-236.909171420929,3264.51760579407,236.938455820956,-3264.53248086306,-236.996421535674,3264.43225231547,236.854534132098,-3264.61540621797,-237.078766002478,3264.35008478964,236.772143078238,-3264.69842566454,-237.16283116187,3264.26453555043,236.684640836109,-3264.78839127152,-237.255824755998,3264.16787959901,236.583599294139,-3264.89465455042,-237.368289625217,3264.04804948584,236.45500340882,-3265.03372507446,-237.519949964318,3263.88114089304,236.269449259815,-3265.24234712707,-237.757517667323,3263.60662639755,235.946787306054,-3265.62936897934,-238.233345010161,3263.0031885274,235.149861195566,-3266.74242071363,-239.924135038117,3260.03431441106,227.859785099789,-3166.49979673553,-216.945229607521,3174.88764926324,217.879127463004,-3174.28672788643,-217.406060116371,3174.68983102938,217.76431863576,-3174.36307465243,-217.461076047543,3174.64798368255,217.731208764607,-3174.39007680336,-217.48363646896,3174.62875521556,217.714542806329,-3174.40473152908,-217.496685951748,3174.61700485291,217.703855949207,-3174.41453956645,-217.505762341801,3174.60854103738,217.695906986943,-3174.42205497587,-217.512912746383,3174.60169706601,217.689318718782,-3174.42843209994,-217.519118444867,3174.59562683576,217.683350864229,-3174.43432856877,-217.52497308383,3174.58978529895,217.677493959537,-3174.44022961375,-217.530947916041,3174.58370554787,217.67127599884,-3174.44662200548,-217.537554799618,3174.57683917554,217.664098850808,-3174.4541692079,-217.545541506346,3174.56833050714,217.654969003279,-3174.46404126478,-217.556305538776,3174.55648632194,217.641804265034,-3174.47883937815,-217.57315262942,3174.53702477996,217.618937117487,-3174.50625651467,-217.606843842452,3174.49432560304,217.562595411528,-3174.58485095194,-217.726001009387,3174.2858654599,217.056070172066,-3172.46892549642,-235.530518423883,3172.46892549642,235.530518423917,-3172.46892549643,-235.530518423861,3172.46892549642,235.530518423898,-3172.46892549642,-235.53051842393,3172.46892549643,235.530518423875,-3172.46892549643,-235.530518423909,3172.46892549642,235.530518423942,-3172.46892549643,-235.530518423795,3172.46892549643,235.530518423825,-3172.46892549643,-235.530518423863,3172.46892549643,235.530518423804,-3172.46892549643,-235.530518423843,3172.46892549643,235.530518423877,-3172.46892549643,-235.530518423816,3172.46892549643,235.530518423856
"re(SP(Dq5)) [uv]",205.560459131744,-3267.09677850859,-238.469914573406,3263.34698527313,235.976205942239,-3265.36015845907,-237.726792295972,3263.77775290913,236.262472130456,-3265.15396170017,-237.569998297883,3263.90178087148,236.363602646917,-3265.06947907506,-237.498001746457,3263.96417618962,236.418463188337,-3265.02063171755,-237.454020435773,3264.00417426053,236.455169924448,-3264.98666500928,-237.422347752806,3264.0339189108,236.483291006918,-3264.95991080936,-237.39674112885,3264.05856788771,236.507149146262,-3264.93669483493,-237.374032739012,3264.08089253595,236.529206013742,-3264.91479516764,-237.352182804047,3264.1027992288,236.551277070663,-3264.89244888352,-237.329444892722,3264.12605322512,236.575182550766,-3264.86774218551,-237.303768809651,3264.15289034842,236.603402214583,-3264.83788049962,-237.27195705019,3264.18702281408,236.640307457696,-3264.79764312916,-237.227684821314,3264.23622754746,236.695612605651,-3264.73468616823,-237.154965566027,3264.32166125013,236.798029885717,-3264.60885561023,-236.995530248457,3264.53196893658,237.091265653196,-3264.1646044046,-236.219407384384,3266.41032183255,236.195981213928,-3173.02502746409,-216.85159619725,3175.00746504467,217.965436063207,-3174.23067804145,-217.373833876624,3174.7033267314,217.762806716008,-3174.37687064709,-217.485129122999,3174.61521249345,217.690910309635,-3174.43696519931,-217.536365921839,3174.57079081543,217.651839465318,-3174.4717641067,-217.567706734603,3174.54228147571,217.625670262952,-3174.49598482418,-217.590295929923,3174.52106360819,217.605607195603,-3174.51507570153,-217.608570689458,3174.50346975306,217.588575447,-3174.53165126607,-217.624785991817,3174.48752640561,217.572821329307,-3174.54729507866,-217.640396240493,3174.47187363935,217.557049127984,-3174.56326600009,-217.656649166508,3174.45524961778,217.539957045822,-3174.58093341804,-217.675012448529,3174.43605305862,217.519768341337,-3174.60230044169,-217.697778889741,3174.4116210917,217.493346151989,-3174.63111475629,-217.72949046237,3174.37636672818,217.45370868145,-3174.6762522156,-217.781648303671,3174.31506008837,217.38017238296,-3174.76666372627,-217.896309687131,3174.16362852006,217.168661204818,-3175.08798433494,-218.460595311191,3172.77749725124,235.530518423844,-3172.46892549642,-235.530518423882,3172.46892549642,235.530518423823,-3172.46892549642,-235.530518423859,3172.46892549642,235.530518423895,-3172.46892549642,-235.530518423841,3172.46892549643,235.530518423872,-3172.46892549642,-235.530518423907,3172.46892549642,235.530518423855,-3172.46892549643,-235.530518423797,3172.46892549643,235.530518423825,-3172.46892549643,-235.530518423776,3172.46892549643,235.530518423807,-3172.46892549643,-235.530518423843,3172.46892549642,235.530518423787,-3172.46892549643,-235.530518423822,3172.46892549643
